Image Name,Average Temperature,Min Temperature,Max Temperature,Standard Deviation,25th Percentile,Median (50th Percentile),75th Percentile,IQR,Skewness,Kurtosis,Mode,class
97.68_Thermal_Image.jpg,24.81085898,18.05621302,37,3.596275747,23.50887574,24.57692308,27.10650888,3.597633136,-0.006742102,0.251005896,23.67751479,Sick
97.69_Thermal_Image.jpg,24.85414517,18.05029586,35,2.390588958,23.28106509,23.9852071,25.99704142,2.715976331,0.892246295,1.582898113,23.73372781,Sick
97.6_Thermal_Image.jpg,26.26042997,19.04733728,35,2.884962327,24.11242604,26.14792899,27.85207101,3.73964497,0.032122487,0.280508051,23.78106509,Sick
97.70_Thermal_Image.jpg,24.50364432,18.04733728,34,1.985465822,23.25443787,23.72781065,25.33727811,2.082840237,0.839480836,1.667120568,23.53846154,Sick
97.71_Thermal_Image.jpg,24.46331197,18.05029586,34.89940828,2.160743308,23.33136095,23.88461538,24.68934911,1.357988166,1.513644114,3.794734048,23.88461538,Sick
97.72_Thermal_Image.jpg,24.04072598,18.04733728,34,2.072633324,23.11242604,23.53846154,24.29585799,1.183431953,1.185286553,3.744630002,23.53846154,Sick
97.73_Thermal_Image.jpg,24.51852168,19.04733728,35,2.973334708,22.31360947,24.53846154,26.47928994,4.165680473,0.109208396,0.025439263,19.04733728,Sick
97.74_Thermal_Image.jpg,24.76120355,19.04733728,35,3.142497199,22.64497041,24.72781065,26.95266272,4.307692308,0.103906037,-0.219725388,23.35502959,Sick
97.75_Thermal_Image.jpg,24.6631102,18.05029586,35,2.73745193,23.07988166,24.08579882,26.65088757,3.571005917,0.097034473,0.83486679,23.07988166,Sick
97.76_Thermal_Image.jpg,23.85008033,18.0443787,33,2.441020183,22.48224852,22.79289941,25.63313609,3.150887574,0.405979765,0.724994662,22.48224852,Sick
97.77_Thermal_Image.jpg,25.1217709,18.05029586,35,2.983159573,23.13017751,25.29289941,27.40532544,4.275147929,-0.425631737,-0.073939252,23.13017751,Sick
97.78_Thermal_Image.jpg,24.89840398,18.05029586,35,3.102030858,23.07988166,24.99112426,27.40532544,4.325443787,-0.503083872,-0.149743834,23.07988166,Sick
97.79_Thermal_Image.jpg,25.1319852,18.04733728,34,2.384143762,23.15976331,24.29585799,27.13609467,3.976331361,0.631999959,-0.55279211,23.15976331,Sick
97.7_Thermal_Image.jpg,24.40658754,18.04733728,34,2.22538431,23.11242604,23.53846154,25.62130178,2.50887574,0.973122603,1.673827995,23.11242604,Sick
97.80_Thermal_Image.jpg,25.32299945,18.05325444,36,2.888532719,23.32544379,24.92307692,27.47928994,4.153846154,0.02113501,0.671769326,23.32544379,Sick
97.81_Thermal_Image.jpg,23.98569185,19.0443787,34,2.614582047,23.12721893,23.65976331,25.30177515,2.174556213,0.308915606,0.630127951,23.48224852,Sick
97.82_Thermal_Image.jpg,24.19321617,18.04733728,34,1.882319439,23.01775148,23.53846154,24.76923077,1.75147929,1.448926308,2.349908981,23.01775148,Sick
97.83_Thermal_Image.jpg,24.70501937,18.0443787,33,2.234607951,22.79289941,23.63609467,26.38757396,3.594674556,0.817393686,-0.214011388,22.79289941,Sick
97.84_Thermal_Image.jpg,25.081768,18.05325444,36,3.038526739,23.43195266,25.08284024,27.4260355,3.99408284,-0.307959344,0.195913897,23.43195266,Sick
97.85_Thermal_Image.jpg,25.72026295,18.05325444,36,2.976826586,23.59171598,25.61538462,28.06508876,4.473372781,-0.113096919,0.051479558,23.37869822,Sick
97.86_Thermal_Image.jpg,26.02134413,18.05325444,36,2.811848548,23.75147929,25.82840237,28.27810651,4.526627219,-0.173867674,0.245250213,23.37869822,Sick
97.87_Thermal_Image.jpg,24.89202354,18.0443787,33,2.484285535,22.79289941,23.99112426,26.83136095,4.038461538,0.403459927,-0.579795544,22.79289941,Sick
97.8_Thermal_Image.jpg,25.70814344,19.0443787,33.9112426,2.279660794,23.65976331,25.61242604,27.65384615,3.99408284,-0.066087664,-0.200307648,23.48224852,Sick
97.9_Thermal_Image.jpg,25.64138444,19.0443787,33.82248521,2.776311598,23.52662722,25.43491124,27.96449704,4.437869822,-0.172773851,-0.395591364,23.48224852,Sick
98.0_Thermal_Image.jpg,26.55438461,21.03550296,33,1.809518807,25.61538462,26.71597633,27.63905325,2.023668639,-0.71137915,1.53557057,27.10650888,Sick
98.10_Thermal_Image.jpg,24.74706253,19.04142012,33,2.21855529,23.34911243,23.59763314,25.79289941,2.443786982,1.109689089,0.233146192,23.39053254,Sick
98.11_Thermal_Image.jpg,26.00654016,20.03846154,33,2.828238307,24.57692308,26.69230769,28.26923077,3.692307692,-0.703759122,-0.288609597,20.03846154,Sick
98.12_Thermal_Image.jpg,25.13866748,20.03846154,33,3.194061752,22.5,24.76923077,28.19230769,5.692307692,-0.083448995,-1.236921027,20.11538462,Sick
98.13_Thermal_Image.jpg,24.84209589,19.04142012,33,2.715743661,23.18343195,23.9704142,27.07692308,3.893491124,0.167283058,-0.284430163,23.18343195,Sick
98.14_Thermal_Image.jpg,24.50891644,19.03846154,32,2.072489965,23.03846154,23.61538462,25.76923077,2.730769231,0.849056074,0.005471213,22.88461538,Sick
98.15_Thermal_Image.jpg,25.52544073,20.04142012,34,3.026309895,23.81065089,25.92307692,27.86982249,4.059171598,-0.286091625,-0.77797619,20.04142012,Sick
98.16_Thermal_Image.jpg,25.09502772,19.0443787,34,3.490495868,22.41715976,25.43491124,27.96449704,5.547337278,-0.195451187,-0.951714416,19.0887574,Sick
